"date","open","high","low","close","volume","adjClose","symbol"
"2014-03-04T00:00:00.000Z",50.73,51.73,50.53,51.59,6198000,50.37,"ABBV"
"2014-03-05T00:00:00.000Z",51.68,52.12,51.3,51.7,5251100,50.48,"ABBV"
"2014-03-06T00:00:00.000Z",52.04,52.77,51.97,52.04,6529000,50.81,"ABBV"
"2014-03-07T00:00:00.000Z",52.25,52.5,51.01,51.46,5860700,50.24,"ABBV"
"2014-03-10T00:00:00.000Z",51.9,51.9,50.86,51.66,3086000,50.44,"ABBV"
"2014-03-11T00:00:00.000Z",51.68,52.14,51.5,51.75,3629800,50.53,"ABBV"
"2014-03-12T00:00:00.000Z",51.46,51.74,51.07,51.64,3924800,50.42,"ABBV"
"2014-03-13T00:00:00.000Z",51.89,52.1,51.14,51.32,4839400,50.11,"ABBV"
"2014-03-14T00:00:00.000Z",51.25,51.42,50.8,51.21,5466700,50,"ABBV"
"2014-03-17T00:00:00.000Z",51.47,52.19,51.26,51.98,3875500,50.75,"ABBV"
"2014-03-18T00:00:00.000Z",52.08,53.22,51.97,53.1,4712300,51.85,"ABBV"
"2014-03-19T00:00:00.000Z",53.09,53.53,52.44,53.11,6408600,51.86,"ABBV"
"2014-03-20T00:00:00.000Z",52.86,53.8,52.52,53.68,6922700,52.41,"ABBV"
"2014-03-21T00:00:00.000Z",54.22,54.73,53.09,53.46,12930500,52.2,"ABBV"
"2014-03-24T00:00:00.000Z",53.53,53.62,51.35,51.36,10161400,50.15,"ABBV"
"2014-03-25T00:00:00.000Z",51.68,52.1,51.5,51.69,6127200,50.47,"ABBV"
"2014-03-26T00:00:00.000Z",52,52.34,51.46,51.5,5684900,50.28,"ABBV"
"2014-03-27T00:00:00.000Z",51.53,51.84,51.43,51.66,4778000,50.44,"ABBV"
"2014-03-28T00:00:00.000Z",51.83,52.13,50.89,50.98,4208300,49.78,"ABBV"
"2014-03-31T00:00:00.000Z",51.34,51.7,50.95,51.4,4813100,50.19,"ABBV"
"2014-04-01T00:00:00.000Z",51.62,52.38,51.54,52.1,4250800,50.87,"ABBV"
"2014-04-02T00:00:00.000Z",52.1,53.41,51.99,53.34,6007200,52.08,"ABBV"
"2014-04-03T00:00:00.000Z",53.35,53.83,53.21,53.5,6841400,52.24,"ABBV"
"2014-04-04T00:00:00.000Z",53.78,54.44,52.05,52.2,7013200,50.97,"ABBV"
"2014-04-07T00:00:00.000Z",51.68,52.31,49.65,50.62,9146600,49.42,"ABBV"
"2014-04-08T00:00:00.000Z",50.35,50.87,48.93,49.1,8246900,47.94,"ABBV"
"2014-04-09T00:00:00.000Z",49.49,50.76,49.26,50.63,6018200,49.43,"ABBV"
"2014-04-10T00:00:00.000Z",50.08,50.27,47.29,47.35,13177200,46.23,"ABBV"
"2014-04-11T00:00:00.000Z",46.58,47.21,45.5,46.46,11465800,45.77,"ABBV"
"2014-04-14T00:00:00.000Z",47.1,47.5,46.21,46.83,7290800,46.13,"ABBV"
"2014-04-15T00:00:00.000Z",47.42,48.09,46.76,47.86,9531100,47.15,"ABBV"
"2014-04-16T00:00:00.000Z",48.58,48.84,47.62,48.12,7151000,47.4,"ABBV"
"2014-04-17T00:00:00.000Z",47.92,48.78,47.72,48.55,6196800,47.83,"ABBV"
"2014-04-21T00:00:00.000Z",48.5,49.45,48.4,49.43,4445000,48.69,"ABBV"
"2014-04-22T00:00:00.000Z",49.49,50.42,49.35,50.01,6613200,49.27,"ABBV"
"2014-04-23T00:00:00.000Z",50.14,50.26,49.39,50.14,6578300,49.39,"ABBV"
"2014-04-24T00:00:00.000Z",50.13,50.13,49,49.32,6628800,48.59,"ABBV"
"2014-04-25T00:00:00.000Z",50.21,50.98,48.95,49.14,7289100,48.41,"ABBV"
"2014-04-28T00:00:00.000Z",49.55,50.92,49.5,50.87,7932200,50.11,"ABBV"
"2014-04-29T00:00:00.000Z",50.94,51.53,50.76,51.37,5601300,50.61,"ABBV"
"2014-04-30T00:00:00.000Z",51.38,52.17,51,52.08,7430600,51.31,"ABBV"
"2014-05-01T00:00:00.000Z",51.89,52.1,51.41,51.61,4279800,50.84,"ABBV"
"2014-05-02T00:00:00.000Z",51.41,51.72,51,51.18,3341300,50.42,"ABBV"
"2014-05-05T00:00:00.000Z",50.99,51.37,50.31,51.36,2580300,50.6,"ABBV"
"2014-05-06T00:00:00.000Z",51.2,51.3,50.83,50.91,3353200,50.15,"ABBV"
"2014-05-07T00:00:00.000Z",52.38,52.87,51.27,52.79,7022600,52,"ABBV"
